id_hogar,sexo,edad,genero,ascendencia,parentesco,estado_laboral,nper,sueldo,busca_otro_trabajo,actividad,asistencia alguna vez a enseñanza,edu preescolar,edu primaria,edu media,edu técnica,edu univ o simil,edu terciario no uni,edu posgrado,edu mag prof,parentesco_num,es_madre,hijos
10017,Femenino,34.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,20000.0,Sí,Comercio al por menor de alimento,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10022,Femenino,34.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,19000.0,No,Comercio al por menor de alimento,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10033,Femenino,52.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,45000.0,No,Otros tipos de crédito,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,0.0,No asistió,6,madre,1
10035,Femenino,42.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,18500.0,No,"Otras actividades de trabajo social sin alojamiento, n.c.p.",Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,0.0,No asistió,6,madre,2
10036,Femenino,52.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,50000.0,No,Otros tipos de crédito,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,0.0,No asistió,6,madre,1
10037,Femenino,52.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,30000.0,No,Otros tipos de intermediación monetaria,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,0.0,No asistió,6,madre,1
10041,Femenino,57.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,34000.0,No,Restaurantes y otros servicios de comidas móviles,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10045,Femenino,57.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,34000.0,No,Restaurantes y otros servicios de comidas móviles,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10048,Femenino,57.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,34000.0,No,Abastecimiento de eventos,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10053,Femenino,33.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,66000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,Asiste actualmente,No asistió,6,madre,2
10057,Femenino,33.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,62000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,Asiste actualmente,No asistió,6,madre,2
10060,Femenino,33.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,72000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,Asiste actualmente,No asistió,6,madre,2
10064,Femenino,33.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,73000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,Asiste actualmente,No asistió,6,madre,2
10091,Femenino,72.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,30000.0,No,Comercio al por menor de productos farmacéuticos y medicinal,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10092,Femenino,72.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,30000.0,No,Comercio al por menor de productos farmacéuticos y medicinal,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10108,Femenino,36.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,32000.0,No,Regulación de las actividades de organismos que prestan serv,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,4
10110,Femenino,36.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,34000.0,No,Regulación de las actividades de organismos que prestan serv,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,4
10113,Femenino,36.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,34000.0,No,Regulación de las actividades de organismos que prestan serv,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,4
10120,Femenino,26.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,20500.0,No,Actividades de la administración pública en general,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,0
10123,Femenino,26.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,20000.0,No,Actividades de la administración pública en general,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,0
10136,Femenino,37.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24000.0,No,Comercio al por menor en almacenes no especializados,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10141,Femenino,37.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,20000.0,Sí,Comercio al por menor en almacenes no especializados,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10146,Femenino,38.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,17000.0,Sí,Comercio al por menor en almacenes no especializados,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10168,Femenino,50.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,40000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10177,Femenino,50.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,40000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
